plot_id,genotype,rep,row,column
P086,P898012,3,6,11
P087,Segaolane,3,6,12
P088,Tx7000,3,6,13
P089,ATx631,3,6,14
P090,BTx642,3,6,15
P091,RTx2536,3,7,1
P092,SC170,3,7,2
P093,IS3620C,3,7,3
P094,BTx3197,3,7,4
P095,RTx7078,3,7,5
P096,SC1103,3,7,6
P097,Grassl,3,7,7
P098,ATx399,3,7,8
P099,BTx645,3,7,9
P100,PI229828,3,7,10
P101,PI267617,3,7,11
P102,PI297130,3,7,12
P103,PI391665,3,7,13
P104,PI455230,3,7,14
P105,Rio,3,7,15
P106,Shallu,3,8,1
P107,Sugardrip,3,8,2
P108,Tracy,3,8,3
P109,Wheatland,3,8,4
P110,BTx406,3,8,5
P111,RTx430,3,8,6
P112,SC283,3,8,7
P113,ATx623,3,8,8
P114,IS12555,3,8,9
P115,M35-1,3,8,10
P116,N98,3,8,11
P117,PI257599,3,8,12
P118,PI534137,3,8,13
P119,PI609251,3,8,14
P120,Redlan,3,8,15
P121,TX430,1,9,1
P122,BTx623,1,9,2
P123,RTx436,1,9,3
P124,SC35,1,9,4
P125,Macia,1,9,5
P126,P898012,1,9,6
P127,Segaolane,1,9,7
P128,Tx7000,1,9,8
P129,ATx631,1,9,9
P130,BTx642,1,9,10
P131,RTx2536,1,9,11
P132,SC170,1,9,12
P133,IS3620C,1,9,13
P134,BTx3197,1,9,14
P135,RTx7078,1,9,15
P136,SC1103,1,10,1
P137,Grassl,1,10,2
P138,ATx399,1,10,3
P139,BTx645,1,10,4
P140,PI229828,1,10,5
P141,PI267617,1,10,6
P142,PI297130,1,10,7
P143,PI391665,1,10,8
P144,PI455230,1,10,9
P145,Rio,1,10,10
P146,Shallu,1,10,11
P147,Sugardrip,1,10,12
P148,Tracy,1,10,13
P149,Wheatland,1,10,14
P150,BTx406,1,10,15
P151,RTx430,1,11,1
P152,SC283,1,11,2
P153,ATx623,1,11,3
P154,IS12555,1,11,4
P155,M35-1,1,11,5
P156,N98,1,11,6
P157,PI257599,1,11,7
P158,PI534137,1,11,8
P159,PI609251,1,11,9
P160,Redlan,1,11,10
P161,TX430,2,11,11
P162,BTx623,2,11,12
P163,RTx436,2,11,13
P164,SC35,2,11,14
P165,Macia,2,11,15
P166,P898012,2,12,1
P167,Segaolane,2,12,2
P168,Tx7000,2,12,3
P169,ATx631,2,12,4
P170,BTx642,2,12,5
P171,RTx2536,2,12,6
P172,SC170,2,12,7
P173,IS3620C,2,12,8
P174,BTx3197,2,12,9
P175,RTx7078,2,12,10
P176,SC1103,2,12,11
P177,Grassl,2,12,12
P178,ATx399,2,12,13
P179,BTx645,2,12,14
P180,PI229828,2,12,15
P181,PI267617,2,13,1
P182,PI297130,2,13,2
P183,PI391665,2,13,3
P184,PI455230,2,13,4
P185,Rio,2,13,5
P186,Shallu,2,13,6
P187,Sugardrip,2,13,7
P188,Tracy,2,13,8
P189,Wheatland,2,13,9
P190,BTx406,2,13,10
P191,RTx430,2,13,11
P192,SC283,2,13,12
P193,ATx623,2,13,13
P194,IS12555,2,13,14
P195,M35-1,2,13,15
P196,N98,2,14,1
P197,PI257599,2,14,2
P198,PI534137,2,14,3
P199,PI609251,2,14,4
P200,Redlan,2,14,5
P201,TX430,3,14,6
P202,BTx623,3,14,7
P203,RTx436,3,14,8
P204,SC35,3,14,9
P205,Macia,3,14,10
P206,P898012,3,14,11
P207,Segaolane,3,14,12
P208,Tx7000,3,14,13
P209,ATx631,3,14,14
P210,BTx642,3,14,15
P211,RTx2536,3,15,1
P212,SC170,3,15,2
P213,IS3620C,3,15,3
P214,BTx3197,3,15,4
P215,RTx7078,3,15,5
P216,SC1103,3,15,6
P217,Grassl,3,15,7
P218,ATx399,3,15,8
P219,BTx645,3,15,9
P220,PI229828,3,15,10
P221,PI267617,3,15,11
P222,PI297130,3,15,12
P223,PI391665,3,15,13
P224,PI455230,3,15,14
P225,Rio,3,15,15
P226,Shallu,3,16,1
P227,Sugardrip,3,16,2
P228,Tracy,3,16,3
P229,Wheatland,3,16,4
P230,BTx406,3,16,5
P231,RTx430,3,16,6
P232,SC283,3,16,7
P233,ATx623,3,16,8
P234,IS12555,3,16,9
P235,M35-1,3,16,10
P236,N98,3,16,11
P237,PI257599,3,16,12
P238,PI534137,3,16,13
P239,PI609251,3,16,14
P240,Redlan,3,16,15
